,latitud,longitud,barrio,property_type,property_rooms,property_bedrooms,property_surface_total,property_surface_covered,property_price
427104,-34.5532901,-58.4488301,Belgrano,departamento,3,2,177,113,495000
254748,-34.597937,-58.4464245,Villa Crespo,departamento,1,1,45,42,81000
138141,-34.5928142,-58.4367042,Villa Crespo,ph,2,1,50,40,105000
321218,-34.6104618,-58.3835303,Monserrat,departamento,1,1,45,45,70000
441851,-34.5435686,-58.4619563,Nuñez,departamento,2,1,42,38,136900
139524,-34.6274404,-58.4477785,Caballito,departamento,4,3,136,116,510000
398110,-34.5608593671,-58.4560203552,Belgrano,departamento,5,4,155,148,325000
32439,-34.5625302435,-58.4688972805,Belgrano,departamento,2,1,35,35,63000
275247,-34.5763392,-58.4583364,Colegiales,departamento,3,2,81,66,225000
426224,-34.586248588,-58.4168118238,Palermo,departamento,4,3,103,93,249900
323888,-34.5894557,-58.3824544,Retiro,departamento,2,1,33,33,86000
397203,-34.538738,-58.470597,Nuñez,departamento,3,2,63,61,169000
234257,-34.5756313,-58.4884785,Villa Urquiza,ph,4,2,101,51,149000
96159,-34.6279088,-58.4542155,Flores,departamento,4,3,140,130,255000
243730,-34.593259553683595,-58.4025719308655,Barrio Norte,departamento,4,3,103,103,275000
227261,-34.5919776,-58.4050384,Barrio Norte,departamento,3,2,68,58,195000
268117,-34.6082837,-58.3953775,Congreso,departamento,3,2,67,67,140000
452264,-34.597896,-58.396131,Recoleta,departamento,3,2,69,63,125000
226380,-34.587801,-58.385684,Recoleta,departamento,3,2,157,157,430000
393550,-34.614643,-58.509746,Villa Devoto,ph,2,1,60,37,129600
143569,-34.5995189,-58.4030027,Barrio Norte,departamento,3,2,70,66,192000
289182,-34.6291569,-58.5056603,Floresta,departamento,2,1,36,36,83000
92395,-34.633693,-58.375822,Barracas,departamento,3,2,64,64,159000
251243,-34.6112502,-58.3731002,Monserrat,departamento,2,1,51,48,84900
81216,-34.5751919,-58.4719296,Belgrano,casa,5,3,183,183,460000
353003,-34.579297569,-58.4542391116,Colegiales,departamento,2,1,47,47,135000
188432,-34.5667378,-58.4410263,Palermo,departamento,4,3,114,108,385000
162676,-34.6374424,-58.4486177,Parque Chacabuco,departamento,2,1,56,56,110000
337813,-34.6265825,-58.4413575,Caballito,departamento,4,3,112,104,390000
455379,-34.5659379,-58.4901116,Villa Urquiza,departamento,2,1,54,41,120000
72322,-34.5841849,-58.4432077,Palermo,departamento,1,1,47,44,89900
17179,-34.5998049,-58.3930674,Barrio Norte,departamento,6,3,150,150,325000
89683,-34.6912683,-58.4652935,Villa Lugano,departamento,3,2,59,53,115000
443374,-34.5848413,-58.4943527,Villa Pueyrredón,casa,5,3,175,150,325000
140740,-34.5598201,-58.4540349,Belgrano,departamento,4,3,145,145,400000
288826,-34.5428108,-58.464894,Nuñez,departamento,3,2,56,53,125000
398570,-34.5969104218,-58.4138901557,Recoleta,departamento,2,1,35,31,93000
372764,-34.565337,-58.453211,Belgrano,departamento,5,4,96,96,235000
355821,-34.5898726116,-58.394200554,Barrio Norte,departamento,3,3,86,79,269000
96229,-34.6041577,-58.4305375,Almagro,departamento,2,1,47,38,115000
442057,-34.576275,-58.438921,Palermo,departamento,2,1,42,40,127100
246578,-34.5669891738,-58.431722194,Palermo,departamento,3,2,90,75,179000
114944,-34.55491,-58.4374886,Belgrano,departamento,3,2,78,67,298000
70283,-34.621553,-58.3828717,Monserrat,departamento,2,1,40,37,62900
272876,-34.6084314,-58.4856585,Villa del Parque,departamento,3,2,79,70,185000
366224,-34.5698591224,-58.4469875322,Belgrano,departamento,3,2,61,56,169000
332314,-34.5943099,-58.4178905,Palermo,departamento,2,1,40,33,69000
302704,-34.5828261,-58.4141196,Palermo,departamento,3,2,74,73,180000
46957,-34.5921884,-58.3790738,Recoleta,departamento,4,2,187,187,570000
333745,-34.623196,-58.461363,Flores,departamento,5,4,190,190,388000
334346,-34.5576168,-58.4806897,Saavedra,departamento,2,1,62,57,139000
341511,-34.580694,-58.4118484,Palermo,departamento,3,2,86,77,298000
401556,-34.56249044330229,-58.4546909450343,Belgrano,departamento,4,3,140,127,390000
82402,-34.62498,-58.504708,Monte Castro,departamento,2,1,115,45,125000
85159,-34.5666147,-58.4730975,Coghlan,ph,3,2,48,45,120000
367821,-34.5687843926,-58.4855568409,Villa Urquiza,departamento,2,1,46,36,94000
204372,-34.6011483,-58.503551,Villa del Parque,departamento,2,1,45,44,119000
113541,-34.5724063,-58.4308553,Palermo,departamento,3,2,80,80,199000
223737,-34.5450252,-58.4606527,Nuñez,departamento,2,1,54,46,142000
424812,-34.6296096372,-58.4638524055,Flores,ph,3,2,92,73,75000
372666,-34.5948318,-58.4198205,Palermo,departamento,2,1,60,49,126123
21383,-34.6316806,-58.4011339,Parque Patricios,departamento,3,2,106,106,169000
398686,-34.6114407,-58.4004959,Balvanera,departamento,3,2,54,52,110000
436453,-34.606887,-58.4417931,Caballito,departamento,2,1,36,36,72000
399608,-34.5956881,-58.4392326,Villa Crespo,departamento,2,1,41,39,84000
51886,-34.6084857,-58.4644959,Paternal,departamento,3,2,56,56,140000
9470,-34.5867255555,-58.4229326248,Palermo,departamento,3,2,50,48,125000
457783,-34.5921167,-58.4084016,Palermo,departamento,3,2,127,116,274000
327265,-34.5638451,-58.4746343,Coghlan,departamento,4,3,154,129,355000
240544,-34.5749772257,-58.4916347265,Villa Urquiza,departamento,2,1,50,45,139000
398942,-34.6241081,-58.4406162,Caballito,departamento,3,2,63,44,159000
121709,-34.6019511,-58.4050238,Abasto,departamento,2,1,57,53,82000
280400,-34.5837536,-58.4678969,Villa Ortuzar,departamento,4,3,130,98,317000
226158,-34.630344,-58.463095,Flores,departamento,3,2,67,60,109000
2332,-34.6035261,-58.4164417,Almagro,departamento,5,2,84,84,167000
360263,-34.588798692,-58.4004541811,Recoleta,departamento,5,4,178,165,460000
203556,-34.6326287,-58.4368994,Parque Chacabuco,casa,5,4,200,175,435000
280993,-34.5764639,-58.4642934,Belgrano,departamento,2,1,38,38,75000
38262,-34.5610445,-58.4667326,Belgrano,departamento,3,2,109,81,270000
434838,-34.6171794,-58.4275906,Almagro,ph,3,2,66,66,79000
243517,-34.5859887965,-58.3945039968,Recoleta,departamento,4,3,108,108,290000
306720,-34.5846224,-58.417399,Barrio Norte,departamento,4,3,99,93,245000
34423,-34.5944409,-58.3843813,Recoleta,departamento,2,1,46,46,110000
347052,-34.585136,-58.415637,Palermo,departamento,7,5,206,189,398000
180445,-34.5733258401,-58.4391386148,Belgrano,departamento,2,1,53,53,125000
6530,-34.6038767,-58.4931629,Villa del Parque,departamento,3,2,64,46,143000
326058,-34.646744,-58.381456,Barracas,departamento,2,1,71,71,210000
49894,-34.572946,-58.4817213,Villa Urquiza,departamento,2,1,65,59,116000
85760,-34.56249044330229,-58.4546909450343,Belgrano,departamento,2,1,40,37,92000
77933,-34.6054849,-58.3877563,San Nicolás,departamento,3,2,52,50,64900
246814,-34.587915018,-58.3844196798,Recoleta,departamento,2,1,39,36,89900
402186,-34.6078153812,-58.5105550289,Villa Devoto,ph,3,2,125,75,209000
439013,-34.5936103649,-58.3948981762,Recoleta,departamento,4,3,119,112,290000
39371,-34.6043480232,-58.4294698971,Almagro,departamento,4,3,85,80,215000
126775,-34.622845,-58.4387089,Caballito,departamento,2,1,53,48,130000
324675,-34.604636,-58.403278,Balvanera,departamento,4,3,153,150,179000
201904,-34.5897916,-58.3914986,Recoleta,departamento,4,3,163,153,500000
35767,-34.636348,-58.442674,Parque Chacabuco,departamento,4,3,180,160,225000
250950,-34.593329,-58.409906,Barrio Norte,departamento,4,3,125,125,249000
19969,-34.6261244,-58.3859524,Constitución,departamento,3,2,50,50,67000
147689,-34.6250973,-58.4913659,Floresta,departamento,3,2,56,50,105000
206519,-34.5801748,-58.4487214,Colegiales,departamento,2,1,43,40,95000
341450,-34.6052647,-58.4245794,Almagro,departamento,2,1,30,30,59000
187885,-34.61394,-58.477918,Villa del Parque,departamento,2,1,54,46,120000
443964,-34.594943,-58.3921149,Recoleta,departamento,1,1,31,31,87000
100740,-34.6075523,-58.4261068,Almagro,departamento,3,2,64,54,112000
361931,-34.5966747,-58.4244545,Palermo,ph,6,5,200,180,445000
459327,-34.6008250059,-58.414095539,Almagro,departamento,3,2,73,70,135000
92766,-34.614191,-58.392198,Balvanera,departamento,3,2,158,88,119900
430612,-34.6019334,-58.3904708,San Nicolás,departamento,2,1,38,34,59900
338433,-34.5847194696,-58.4525821872,Chacarita,ph,2,2,70,50,149000
50709,-34.5822864,-58.448569,Colegiales,departamento,2,1,51,45,159900
414015,-34.6115662,-58.4207707,Villa Crespo,departamento,2,1,45,45,95000
4147,-34.6245668,-58.3835002,Constitución,ph,3,2,62,62,90000
452650,-34.6054815,-58.4313038,Caballito,departamento,1,1,41,37,82500
452236,-34.5899099,-58.4064938,Recoleta,departamento,2,1,37,35,69900
278388,-34.6492141,-58.4861835,Parque Avellaneda,casa,6,5,223,195,180000
380027,-34.5984689,-58.4276724,Villa Crespo,departamento,3,2,58,50,175000
17012,-34.5926397,-58.3950119,Recoleta,departamento,3,2,80,75,238000
280097,-34.5902272,-58.3956028,Recoleta,departamento,2,1,62,51,240000
193607,-34.6061585,-58.4751197,Villa del Parque,departamento,2,1,45,35,72000
397349,-34.606188,-58.413787,Almagro,departamento,2,1,49,46,130000
310361,-34.615662,-58.393056,Congreso,departamento,4,3,82,76,110000
308200,-34.646855,-58.417225,Pompeya,ph,5,3,140,120,187500
255868,-34.5444664,-58.4710322,Nuñez,departamento,2,1,59,47,130824
200762,-34.5562907,-58.4466565,Belgrano,departamento,1,1,35,31,105000
40859,-34.590556,-58.390556,Recoleta,departamento,1,1,44,44,186564
238170,-34.6031438728,-58.428450854,Almagro,departamento,4,3,99,70,183000
92856,-34.6199289,-58.439704,Caballito,departamento,2,1,39,39,75000
195310,-34.5877916,-58.3856846,Recoleta,departamento,4,3,209,182,520000
160464,-34.5858866,-58.4714058,Villa Urquiza,departamento,2,1,63,48,164000
217295,-34.5529609,-58.4634838,Nuñez,departamento,1,1,40,40,93000
136554,-34.6096903,-58.4854035,Villa Santa Rita,casa,4,3,201,127,195000
212454,-34.589082,-58.4069793,Palermo,departamento,4,3,83,78,305000
270866,-34.5818517,-58.4546411,Colegiales,ph,4,3,178,140,289000
383155,-34.6384776,-58.5045836,Villa Luro,departamento,2,1,49,47,99900
157436,-34.5923536,-58.4003106,Barrio Norte,departamento,2,1,38,38,112000
265074,-34.607714229844184,-58.422202859702885,Almagro,departamento,2,1,43,38,89000
92828,-34.6223847,-58.4488862,Caballito,departamento,4,3,113,97,288000
69409,-34.5476758237,-58.4671998024,Nuñez,departamento,2,1,57,49,169000
42001,-34.570619,-58.4804895,Villa Urquiza,departamento,4,3,94,85,405000
386662,-34.62079903554481,-58.374944052920746,San Telmo,departamento,1,1,35,32,63084
233056,-34.5788026,-58.4091101,Palermo,departamento,3,2,106,95,448000
286263,-34.6178437,-58.3884538,San Cristobal,ph,2,1,40,40,60000
349681,-34.5590127365,-58.4536036849,Belgrano,departamento,3,2,60,54,149900
437692,-34.6326938,-58.4706161,Flores,departamento,4,3,102,95,160000
185314,-34.6225246,-58.4490622,Caballito,departamento,2,1,38,33,95000
442595,-34.5921177478,-58.4114339948,Recoleta,departamento,3,2,94,87,199000
188092,-34.6184622,-58.4152343,Boedo,departamento,2,1,36,33,65000
441155,-34.6137572,-58.5234841,Villa Devoto,departamento,3,2,45,45,110000
34818,-34.570514,-58.446411,Colegiales,departamento,3,2,58,47,138000
121978,-34.6248387703,-58.4272456169,Caballito,departamento,3,2,80,61,155000
382976,-34.6163468,-58.4431242,Caballito,departamento,4,3,100,75,198000
420870,-34.5934403,-58.4421862,Villa Crespo,departamento,2,1,50,45,135000
397333,-34.6134414,-58.4251005,Almagro,departamento,3,2,69,69,150000
40797,-34.5588856,-58.4607129,Belgrano,departamento,4,3,95,95,275000
193085,-34.554686,-58.455981,Belgrano,departamento,3,2,59,59,125000
257205,-34.5915842,-58.3896152,Recoleta,departamento,4,3,91,81,265000
57035,-34.6116109,-58.5001262,Villa del Parque,departamento,2,1,47,43,90000
238357,-34.5700539,-58.4518941,Belgrano,departamento,3,2,85,79,185000
259314,-34.5863961,-58.5002729,Villa Pueyrredón,ph,3,2,132,97,196000
427054,-34.5546729,-58.460262,Belgrano,departamento,2,1,39,33,78000
35015,-34.632999,-58.500503,Villa Luro,ph,3,2,152,130,184900
207157,-34.5507593,-58.4684478,Nuñez,departamento,4,3,82,78,200000
114651,-34.5549926,-58.4670857,Nuñez,departamento,3,2,70,60,210000
11720,-34.5694458,-58.5021515,Villa Urquiza,casa,3,2,219,139,300000
105113,-34.641089,-58.528582,Liniers,departamento,3,2,85,81,57500
53704,-34.5539596,-58.4569202,Belgrano,departamento,3,2,61,55,100000
377718,-34.56249044330229,-58.4546909450343,Belgrano,departamento,3,2,66,60,175000
235484,-34.5977603,-58.4408726,Villa Crespo,departamento,3,2,71,58,219500
115275,-34.634306,-58.5177752,Versalles,departamento,3,2,56,52,108000
46273,-34.5401388,-58.4740171,Nuñez,departamento,2,1,48,42,204000
333233,-34.587918,-58.4666006,Villa Ortuzar,departamento,2,1,55,45,94800
215289,-34.5880232,-58.4169432,Palermo,departamento,4,2,166,130,580000
27783,-34.5657815,-58.4564047,Belgrano,departamento,3,2,86,80,215000
70201,-34.6164478,-58.4430385,Caballito,departamento,3,2,55,51,115000
50708,-34.573842,-58.4489284,Colegiales,departamento,2,1,92,43,84900
41915,-34.584596,-58.464357,Villa Urquiza,departamento,2,1,57,50,164037
370066,-34.5960716,-58.4154992,Palermo,departamento,2,1,41,37,97000
144247,-34.5808402,-58.4137034,Barrio Norte,departamento,2,1,78,70,390000
82292,-34.6161349,-58.4307746,Caballito,departamento,5,3,131,125,325000
430493,-34.6212932,-58.5009851,Monte Castro,departamento,2,1,43,38,89000
295709,-34.5965227,-58.3871697,Recoleta,departamento,4,3,137,120,308000
451168,-34.6347086175,-58.3864223957,Barracas,ph,3,3,221,99,132500
32155,-34.6208132,-58.4351765,Caballito,departamento,4,3,79,76,175000
434094,-34.6120144,-58.398354,Congreso,departamento,2,1,58,53,95000
314765,-34.5883996,-58.4786374,Villa Urquiza,departamento,2,1,56,48,155000
9430,-34.5792444,-58.4234441,Palermo,departamento,2,1,42,40,130000
198841,-34.5841349,-58.414632,Palermo,departamento,5,3,107,107,297000
127195,-34.5925835,-58.409799,Barrio Norte,departamento,3,2,73,69,156000
72568,-34.5743883,-58.4487278,Colegiales,departamento,1,1,37,35,75600
15269,-34.5947316,-58.3953666,Recoleta,departamento,5,3,188,175,545000
236128,-34.5633904,-58.4395622,Palermo,departamento,2,1,43,39,115000
197894,-34.587467741,-58.4057613281,Barrio Norte,departamento,3,2,57,52,144000
114709,-34.6010733,-58.4177088,Almagro,departamento,1,1,36,33,129000
397300,-34.5987945,-58.3866972,Retiro,departamento,2,1,34,34,87000
126788,-34.611426,-58.4467634,Caballito,ph,3,2,54,48,102500
397209,-34.53958,-58.46586,Nuñez,departamento,3,2,80,55,199000
74897,-34.6138864,-58.4087773,Balvanera,departamento,3,2,54,50,89000
67881,-34.606409,-58.411475,Abasto,departamento,3,2,54,52,105000
310817,-34.5731135,-58.482633,Villa Urquiza,departamento,2,1,64,58,116000
443083,-34.6824139,-58.4769952,Villa Lugano,ph,3,2,105,80,190000
235460,-34.5954321,-58.3798889,Barrio Norte,departamento,3,2,80,80,185000
428419,-34.6174841763,-58.398218751,Balvanera,departamento,3,2,53,47,92000
310824,-34.5728673,-58.4845452,Villa Urquiza,departamento,2,1,72,62,200000
248321,-34.627634,-58.4467878,Caballito,departamento,2,1,52,50,149000
30365,-34.5814094,-58.4529473,Colegiales,departamento,3,2,59,59,105000
431193,-34.6216636,-58.4025166,San Cristobal,departamento,3,2,92,62,125000
296809,-34.5670599,-58.4371475,Belgrano,departamento,3,2,80,70,269000
354447,-34.5934403,-58.4421862,Villa Crespo,departamento,2,1,50,45,135000
422279,-34.56249044330229,-58.4546909450343,Belgrano,departamento,4,3,150,150,550000
256684,-34.6292715,-58.3721389,Barracas,departamento,3,2,80,70,175000
257402,-34.6114877,-58.4379425,Caballito,departamento,6,3,181,181,240000
275136,-34.5989244,-58.3760355,Catalinas,departamento,3,2,72,69,129000
255874,-34.5444664,-58.4710322,Nuñez,departamento,2,1,53,47,124287
371154,-34.6238119,-58.5025083,Floresta,departamento,2,1,64,48,120000
82303,-34.6199035055,-58.3880546937,Monserrat,departamento,1,1,40,37,79000
56278,-34.6264955,-58.4410095,Caballito,departamento,3,2,73,64,279900
193533,-34.686458,-58.459947,Villa Lugano,departamento,3,2,65,65,59900
330994,-34.5956798,-58.3957017,Barrio Norte,departamento,4,3,96,85,230000
202131,-34.6352055,-58.4821613,Velez Sarsfield,departamento,2,1,54,52,77000
409984,-34.5956802462,-58.501137923,Villa Devoto,departamento,3,2,67,60,149000
318013,-34.5642094,-58.4600337,Belgrano,departamento,3,2,55,50,149000
377352,-34.5944409,-58.3843813,Retiro,departamento,2,1,39,39,91000
55404,-34.625139,-58.378065,San Telmo,ph,4,3,90,90,175000
244965,-34.6271548,-58.443127,Caballito,ph,5,4,167,140,220000
22732,-34.608142,-58.4144908,Almagro,departamento,4,3,77,73,175000
115572,-34.57304,-58.479785,Villa Urquiza,departamento,4,3,90,80,330000
288958,-34.5661342,-58.4345935,Palermo,departamento,2,1,31,31,69000
163131,-34.5512381,-58.4767692,Saavedra,departamento,2,1,71,59,153000
180444,-34.6478783,-58.3726289,Barracas,departamento,2,1,64,33,112500
313173,-34.6090562,-58.4213217,Almagro,departamento,2,1,50,46,123000
125938,-34.6170207,-58.4198182,Almagro,departamento,2,1,45,42,90000
297903,-34.5640304,-58.4372382,Palermo,departamento,4,3,70,70,140000
6072,-34.6115346,-58.4140005,Almagro,departamento,4,3,81,73,149000
83972,-34.6122367476,-58.3932874555,Congreso,departamento,3,2,60,57,112000
294413,-34.5802223,-58.4405795,Palermo,casa,3,2,92,92,245000
264426,-34.5859985,-58.4544363,Chacarita,departamento,1,1,37,32,89000
68080,-34.5875034369,-58.4155021677,Palermo,departamento,1,1,30,30,94700
304740,-34.6138153,-58.3934034,San Cristobal,departamento,4,3,103,97,170000
257132,-34.5881471,-58.3889607,Recoleta,departamento,4,3,135,124,480000
339957,-34.5819705,-58.4514164,Colegiales,departamento,2,1,40,32,89990
132167,-34.577566,-58.474624,Villa Urquiza,ph,5,4,109,95,289000
455251,-34.6241447,-58.4040779,San Cristobal,departamento,2,1,51,37,115000
402809,-34.623196,-58.461363,Flores,departamento,5,4,190,190,388000
79660,-34.5611493,-58.4809377,Coghlan,ph,4,3,220,170,390000
316912,-34.6238108,-58.4510062,Caballito,departamento,2,1,41,38,71900
286265,-34.5761647,-58.4659741,Villa Ortuzar,ph,3,2,108,70,145000
289330,-34.6185902,-58.4314868,Caballito,departamento,2,1,44,42,69000
202938,-34.6285808,-58.4793524,Floresta,departamento,2,1,56,40,75900
287391,-34.63508,-58.4808007,Floresta,departamento,3,2,54,54,125000
64573,-34.618773,-58.401324,San Cristobal,departamento,4,3,80,77,129000
390206,-34.6087362,-58.4304911,Caballito,departamento,3,2,58,55,115000
133666,-34.617233,-58.43717,Caballito,departamento,3,2,97,90,205000
121024,-34.5621966,-58.4731918,Coghlan,ph,4,3,163,140,345000
174610,-34.5732613,-58.4842501,Villa Urquiza,departamento,3,2,115,69,280000
26330,-34.5982582,-58.4104287,Barrio Norte,departamento,4,3,130,120,390000
275080,-34.6144241,-58.3947533,Balvanera,departamento,3,2,74,70,93000
51160,-34.614782,-58.362407,Puerto Madero,departamento,3,2,109,96,465000
106411,-34.58221834118078,-58.42513596685544,Palermo,departamento,2,1,60,60,199000
176364,-34.624845,-58.431635,Caballito,departamento,2,1,49,45,95950
311812,-34.6491932,-58.4893781,Parque Avellaneda,ph,3,2,73,50,88000
327355,-34.5847,-58.423932,Palermo,departamento,2,1,46,40,144000
274979,-34.6012774,-58.4602643,Paternal,departamento,3,2,63,58,95000
149824,-34.6453747,-58.4680803,Parque Avellaneda,departamento,2,1,40,40,45000
192116,-34.6208916,-58.460502,Caballito,departamento,2,1,40,35,84000
119021,-34.5796903513,-58.4753829044,Villa Urquiza,departamento,2,1,59,59,120000
278991,-34.6183291,-58.5057331,Floresta,departamento,2,1,41,39,90000
233021,-34.5858958,-58.4407227,Palermo,departamento,3,2,89,68,240000
133670,-34.616558,-58.455187,Caballito,departamento,1,1,43,40,79000
420792,-34.6198441,-58.4329666,Caballito,departamento,4,3,145,137,250000
372878,-34.5989667848,-58.3958637714,Recoleta,departamento,3,2,66,58,135000
174594,-34.5729983962,-58.499327302,Villa Urquiza,departamento,3,2,63,57,115000
415551,-34.6256568881,-58.4508115053,Caballito,departamento,4,3,91,79,169000
158869,-34.5529609,-58.4634838,Nuñez,departamento,1,1,41,41,95000
428656,-34.615909,-58.4238613,Caballito,ph,4,3,110,90,159000
444270,-34.6074162,-58.3641248,Puerto Madero,departamento,2,1,54,54,285000
84124,-34.6040804793,-58.4096000022,Balvanera,departamento,3,2,59,54,140000
346269,-34.5828068,-58.4482828,Colegiales,departamento,1,1,48,42,130000
183350,-34.5976123,-58.4193162,Palermo,departamento,2,1,53,49,143900
70951,-34.6262509,-58.4205975,Boedo,ph,3,2,215,125,287000
197705,-34.60869794001062,-58.40215875458791,Balvanera,ph,4,2,60,60,90000
297844,-34.6116708,-58.4156766,Almagro,departamento,2,1,37,34,60000
217358,-34.5723327453,-58.4474166856,Belgrano,departamento,1,1,40,34,115500
454913,-34.6078153812,-58.5105550289,Villa Devoto,ph,3,2,125,75,199000
215332,-34.5852283,-58.4398756,Palermo,departamento,3,2,80,80,300000
405064,-34.572126,-58.486722,Villa Urquiza,departamento,4,3,90,80,319000
304386,-34.5442925471,-58.4779574067,Saavedra,departamento,3,2,117,73,255000
257098,-34.5951231,-58.3841573,Recoleta,departamento,4,3,146,132,420000
48147,-34.5927983,-58.4062619,Recoleta,departamento,4,3,160,140,365000
356016,-34.6221134,-58.4235223,Boedo,ph,4,3,162,84,133000
105398,-34.5885097431,-58.4002518654,Recoleta,departamento,4,3,84,73,200000
379424,-34.5617826,-58.4735212,Coghlan,departamento,2,1,34,34,69000
399841,-34.5733541,-58.4792347,Villa Urquiza,departamento,2,1,45,39,107500
131347,-34.5752389,-58.4234518,Palermo,departamento,4,3,177,129,515000
334322,-34.5921785,-58.3962795,Recoleta,departamento,3,2,69,61,275000
82273,-34.6289075,-58.4400227,Caballito,departamento,3,2,60,51,134988
444194,-34.5946643,-58.4422155,Villa Crespo,departamento,2,1,65,65,210000
59421,-34.6106513,-58.4824034,Villa del Parque,departamento,2,1,47,45,75000
326204,-34.6064996,-58.4356338,Caballito,departamento,1,1,57,51,135000
242328,-34.5654569,-58.465499,Belgrano,departamento,3,2,98,65,243000
448281,-34.6255,-58.4041975,Boedo,departamento,2,1,52,52,75000
65365,-34.5579365,-58.4803824,Coghlan,departamento,2,1,47,43,162000
135214,-34.635185,-58.488979,Floresta,departamento,2,1,58,51,61200
141024,-34.5926126,-58.4000093,Recoleta,departamento,3,2,102,63,155000
409091,-34.5457311,-58.4665954,Nuñez,departamento,3,2,68,64,150000
353145,-34.6255097452,-58.4101438522,San Cristobal,departamento,2,1,42,38,88900
370363,-34.6046952,-58.393037,San Nicolás,departamento,3,2,128,95,110000
360306,-34.6186757786,-58.4361177171,Caballito,departamento,4,3,144,140,320000
193090,-34.5624556,-58.4428121,Belgrano,departamento,2,1,90,56,210000
255912,-34.5986658,-58.3827429,Retiro,departamento,3,2,72,72,149000
238870,-34.622064,-58.3698355,San Telmo,ph,3,2,35,35,52500
222075,-34.5781107,-58.4325058,Palermo,departamento,2,1,64,55,169000
390297,-34.5957136,-58.3901,Barrio Norte,departamento,3,2,115,108,330000
314872,-34.5545188,-58.4915986,Saavedra,ph,2,1,54,43,125000
93094,-34.5934145892,-58.4076476098,Barrio Norte,departamento,2,1,36,36,80000
221609,-34.5788613,-58.4840329,Villa Urquiza,departamento,3,3,90,75,370000
376748,-34.592285046510405,-58.39708961222476,Recoleta,departamento,3,2,68,68,260000
457680,-34.635152,-58.461572,Flores,departamento,2,1,35,35,64900
456130,-34.6426707331,-58.4227180481,Parque Chacabuco,departamento,2,1,54,51,99000
378545,-34.637306,-58.4392984,Parque Chacabuco,ph,3,2,140,58,150000
157487,-34.6244606,-58.4069465,San Cristobal,departamento,4,3,69,66,99600
236554,-34.5970149,-58.3883898,Recoleta,departamento,3,2,100,60,220000
284478,-34.5413292,-58.4640256,Nuñez,departamento,3,2,94,86,430000
375399,-34.58221834118078,-58.42513596685544,Palermo,departamento,4,3,104,92,220000
9941,-34.6132699,-58.4127403,Balvanera,departamento,3,2,62,62,105000
66426,-34.5986602,-58.4039454,Abasto,departamento,3,2,62,57,109000
268223,-34.621887,-58.439853,Caballito,departamento,4,3,160,143,395000
297978,-34.5657726,-58.4649522,Belgrano,departamento,2,1,53,47,156500
88999,-34.6279825,-58.4250008,Boedo,departamento,3,2,96,66,185000
324100,-34.6199283,-58.5235966,Villa Real,ph,2,1,65,59,95000
65931,-34.5958969,-58.4715637,Paternal,ph,4,3,198,142,205000
45844,-34.5518273,-58.4632714,Belgrano,departamento,3,2,71,65,178900
222526,-34.6123977,-58.4069356,Balvanera,departamento,3,2,68,65,85000
226407,-34.628301,-58.437369,Caballito,departamento,3,2,65,65,155000
288925,-34.5802950965,-58.4102511406,Palermo,departamento,2,1,55,43,210000
390013,-34.5573581,-58.4468101,Belgrano,departamento,2,1,83,63,330000
270493,-34.6098676844,-58.4315632412,Caballito,departamento,3,2,61,58,152000
247065,-34.5902503,-58.4467878,Villa Crespo,departamento,1,1,43,37,84900
140337,-34.5829019,-58.4074639,Palermo,departamento,2,1,46,42,169000
124551,-34.5652380843,-58.4341277159,Palermo,departamento,4,3,147,140,595000
68508,-34.5742014,-58.4545235,Colegiales,departamento,3,1,79,79,310000
233422,-34.6137434,-58.4066538,Balvanera,departamento,4,3,54,50,108000
197096,-34.617373,-58.4300666,Caballito,departamento,4,3,98,90,250000
290686,-34.5629449,-58.4511977,Belgrano,departamento,4,3,129,118,380000
437969,-34.6177017,-58.4397534,Caballito,departamento,3,2,76,67,130000
321071,-34.593289,-58.399491,Recoleta,departamento,2,1,38,38,89000
15302,-34.5423936,-58.4733461,Saavedra,departamento,4,3,102,90,225000
70597,-34.5969137,-58.4439172,Villa Crespo,departamento,2,1,54,54,115000
406651,-34.628672,-58.4490735,Caballito,departamento,2,1,79,39,175000
16816,-34.5827239611,-58.4245263553,Palermo,departamento,1,1,39,35,145000
157479,-34.6161176,-58.3628087,Puerto Madero,departamento,2,1,51,43,265000
277576,-34.66135,-58.5076,Mataderos,departamento,2,1,75,57,92000
109250,-34.5903298414,-58.4895265656,Agronomía,ph,3,2,77,77,165000
11079,-34.592285046510405,-58.39708961222476,Recoleta,departamento,4,3,118,114,549000
21498,-34.615468,-58.3836786,Monserrat,ph,3,2,75,65,110000
167609,-34.5697552,-58.4415898,Belgrano,departamento,4,3,138,130,545000
119542,-34.5696534,-58.4765211,Villa Urquiza,departamento,4,3,145,145,450000
375609,-34.6335978,-58.4742629,Floresta,departamento,2,1,45,39,89900
72836,-34.6073031,-58.4734715,Paternal,ph,3,2,99,79,149500
327791,-34.595113,-58.3972251,Recoleta,departamento,4,3,78,74,165000
23025,-34.5675642,-58.4565002,Belgrano,departamento,2,1,81,60,244500
265383,-34.5944502625,-58.4132815875,Recoleta,departamento,4,2,65,61,137500
233179,-34.5684858,-58.4562516,Belgrano,departamento,4,3,106,98,240000
129073,-34.5948702,-58.3916332,Recoleta,departamento,4,3,112,112,305000
