,cp_0,cp_1,cp_2,cp_3,barrio,property_type,property_price
0,-1.5791532028497324,-0.9110929505197478,0.23338156358324438,-0.18002020363704407,Belgrano,departamento,178000
1,-2.2109837556189897,0.5519910230813887,-0.6042441513103539,0.07200035782896953,Monserrat,departamento,129000
2,0.39132835909711466,0.1640703919624128,-1.0098439608105858,-0.24251966441511558,Palermo,departamento,249000
3,0.05229667985281444,0.5894178321823673,-0.7237831205296664,-0.5706820245317763,Barrio Norte,departamento,165000
4,-1.9490956953186218,0.029238907310911368,-0.9302467560374863,0.31466423996943205,Palermo,departamento,105000
5,-1.4656011172956547,1.3412707291673391,-0.2508061683505632,-0.03145142414786004,San Cristobal,departamento,210000
6,-1.7431600457137142,1.2957692563719747,-0.9876508914334964,-0.33151979793042996,Puerto Madero,departamento,320000
7,0.38190230789674257,0.9164138914820577,2.172026029001642,-0.16786554577632473,Almagro,departamento,87000
8,-1.0999459839465668,0.2514525043434141,0.68316793483489,1.207192676674155,Caballito,departamento,105000
9,0.5218495894646276,-0.8241779177371376,-0.911031747824565,-0.10813602680801225,Villa Crespo,departamento,69900
10,0.08796261414109695,-1.3129454442849111,-0.6275164969323637,-0.5723220163581938,Almagro,ph,155000
11,-1.90561195263191,-0.15508029515041163,-0.7529937575042293,0.35969258665821846,Parque Avellaneda,departamento,65000
12,-1.1181609451866452,1.3465601764205866,-0.1477795261084532,1.190752514616841,Belgrano,departamento,144900
13,2.7351509623406476,-1.3363204258437167,-0.874223327206494,0.3621422009571352,Centro / Microcentro,departamento,54000
14,-1.2970117785793311,0.5400279587632952,-0.4536819332799686,0.1033608296384614,Villa Urquiza,departamento,208900
15,-1.771769795301486,0.547080030667443,-0.7906705825728182,-0.369890647242581,Caballito,departamento,99000
16,1.1641953698837701,0.6688070009252369,-0.937249487868794,-0.3459198608159165,Villa Urquiza,departamento,85000
17,0.13644200929645342,1.6536807475636635,-0.2614906517902155,-0.45475780001691923,Monserrat,departamento,65000
18,1.3560984488709016,1.5573453915959212,-0.12826856147539303,-1.241561264424134,Floresta,departamento,75000
19,-1.4947634440398063,0.9166828949026541,-0.07581582772985149,-0.06079863524858752,Nuñez,departamento,245000
20,0.3507113532442877,0.6507899293670749,-0.7613568081937744,-0.2781848962710025,Villa Crespo,departamento,145000
21,-0.30296985621055866,0.8150912626740894,0.6124921229736985,-0.8800507774717697,Coghlan,departamento,67000
22,-1.3507987035938624,-0.09547853567407337,-0.5877915144604151,0.04817765313820242,Recoleta,departamento,189000
23,3.181873151222472,-0.16754351404944215,-0.08912659455781699,0.5830496590721549,Villa Urquiza,departamento,220000
24,1.5699912503841535,-1.0551763252586808,1.5107509099007692,-1.0372021610394122,Caballito,departamento,110000
25,0.27888748536998265,-1.1577349744992218,0.06696523038643493,-0.3645984803373449,Recoleta,departamento,148000
26,-2.1168466724549226,-1.8931738319346323,-0.03924780004589023,0.13531620773786396,San Cristobal,departamento,56000
27,1.8279469229081147,0.7391925609004428,-0.531017095781032,-0.813487432925185,Chacarita,departamento,320000
28,-0.11881206102371417,-0.19043204737497013,0.540775205862312,-0.7169499256667278,Barracas,departamento,128000
29,4.679080684888206,0.6230095574268276,-1.1704369017081437,1.9787241779171705,Caballito,ph,89000
30,-1.7479101469034342,0.5224590174697391,-0.5885734067778426,-0.3314801798997233,Belgrano,departamento,240000
31,-1.3754239661030039,-1.9708555198977067,-0.8185400103916887,0.0006343753893766506,Flores,departamento,82000
32,-1.0594480202392302,-0.6857580815802615,-0.1487209862005571,-0.5468141123100402,Villa Urquiza,departamento,80000
33,-1.4143904158502858,-0.626287210226208,1.7366453205931627,0.028715996520362476,Monserrat,ph,135000
34,2.259429617826991,0.7828705383968211,0.7771967665952303,-0.3047975828176027,Palermo,departamento,139000
35,-1.701346365881721,0.2816444624254904,-0.18371871350245306,-0.287520060174609,Palermo,departamento,120000
36,2.8130386909900302,0.6173600880281708,-1.0931706021880374,1.3069964073547837,Villa Crespo,departamento,185000
37,-0.04753062433797254,1.7121514056092133,-0.8562116816181752,1.3406133636931343,Monte Castro,departamento,95000
38,-0.3158761967014501,1.1906083164764383,-0.16709316517359174,-0.9030056050839813,Villa General Mitre,departamento,65000
39,-1.5787706352473903,1.3555836616863841,-0.878634329065916,-0.1630926975687597,Palermo,departamento,66000
40,0.6800372357900432,0.09399863580806372,0.31650746343156305,0.06364841768645536,Mataderos,ph,115000
41,1.2321735968114085,-0.3876873416217518,-0.6839332163857657,-1.4046880504379498,Monserrat,departamento,109900
42,3.1239791497117464,-1.3995741958457584,-0.613969480546311,0.4443381695922018,Palermo,departamento,170000
43,4.237703751349831,-1.7095750091631454,0.9259384060074205,0.6986429895058617,Flores,ph,245000
44,-1.4653231397899098,-1.1168560783292472,0.11703145151600222,-0.07399232079058776,Boedo,departamento,145000
45,2.0304931600641596,0.5602575417576225,-1.0031109372280334,-0.6221036448871229,San Telmo,departamento,75072
46,-2.2076862384304223,-1.061094207874651,0.3066295125875692,0.06350151355680902,Palermo,departamento,380000
47,4.323207023079938,-0.7900582523380774,0.22378557407476787,0.89817342171909,Recoleta,departamento,210000
48,3.4721570529254238,0.8984352892435662,2.35751066957471,0.1257404501586757,Palermo,departamento,100000
49,-1.3573878775577013,-0.8653877825316971,1.1543600503836788,0.06487240044878279,Caballito,departamento,68200
50,-1.3547842528063574,-1.4955982401082717,-0.7605161347015341,0.00597760400808415,Floresta,departamento,209900
51,-0.21633148542713365,0.9777098359118704,0.1585501039481789,-0.7964338041694807,Recoleta,departamento,250000
